APPID,FellowStatedDate
3e78ef3d-2bbf-485c-bd37-a4040004490f,7/20/16
6bfa945b-0fc2-4759-a60d-a40400b2f01f,7/18/16
b7d652b7-d533-4cdd-9da5-a405006100d5,7/28/16
f82608b7-2c9c-44df-a2db-a40901720b9e,8/23/16
7655ba25-11cd-46d9-978c-a40f01557a8c,8/2/16
cbb845c9-4cfa-4ff5-923f-a40f018223a4,8/12/16
31883d26-e4c1-46af-9442-a411016cba39,
39542084-fdd4-40b6-a92b-a41201434f1b,8/15/16
843fc32e-43a5-4678-8c62-a41500cd8847,6/13/16
a9ce7f17-1d66-4c56-af2b-a415010a499f,8/29/16
4fac9e02-ff65-4937-ba9f-a417009a341a,7/20/16
9e180811-40a7-47ac-a29f-a417010e6c07,8/12/16
3e02a925-7ae5-46fd-92f2-a4170134100a,8/29/16
829512b6-4cf8-4f6c-91e2-a417013907e9,7/28/16
8120a30f-57cf-42c5-aad3-a41800caccf3,7/25/16
2acced1d-b360-4664-954b-a41800e8a533,8/12/16
e75e29db-2d65-478b-b770-a41801156db8,8/25/16
623f98e7-3e70-4b94-bdf6-a41a0164f5c7,7/18/16
5b0779fd-e279-478d-971b-a41a01659df3,6/14/16
2c181e99-75d7-4e6c-af35-a41b00e1176a,5/26/16
39118769-20e7-4f3b-9806-a41c00fd96aa,9/13/16
27254c1a-2386-4de0-bb50-a41e0116314e,8/10/16
850bbc70-09bb-4691-8c3f-a41f005cbd41,8/11/16
fe1d70fd-56e4-412e-b0ab-a41f0156cee6,5/26/16
c5c37a93-4d18-46fd-8433-a420000026f1,8/16/16
41998ba4-7d1e-437e-8282-a42001267c7c,7/19/16
d4327307-0dc7-4c28-b1b7-a42001312e81,7/27/16
45e9ee0d-2911-4b0b-9a50-a420014dc394,8/12/16
c3544200-8176-45ab-b4a2-a421001880f4,8/15/16
5935bfe8-5a60-48c2-977b-a421012a25bc,7/21/16
075e2fea-904e-46a1-be0c-a42200a7af04,7/21/16
68da7e7a-4434-4bc6-8e45-a42400b74570,8/25/16
acd723d2-f694-477d-b8db-a425018033a7,8/1/16
85bc2cd6-b2b6-4de1-b313-a4250186b665,7/29/16
c59eeb1f-2b19-47e1-a9c5-a42700b50306,8/8/16
df277340-049c-4e57-9726-a42900255d37,8/31/16
53c75c46-f8f2-4456-94a0-a42e00ceccb7,6/24/16
c0e5e323-39dd-4c7f-87a2-a42e00e481b6,8/9/16
18d6c3a3-cb14-4381-af8d-a42f00e86b2a,8/1/16
f165dfff-877d-43e5-b1d4-a43201317bb0,8/10/16
10755dbf-1031-4b3c-8f29-a433013ed5aa,7/27/16
3f9fa9ff-da4d-414f-86e3-a435013957bc,6/24/16
14a86566-7033-471f-9b93-a43501737151,6/30/16
482f1550-1547-4323-9a1a-a436014a2eb4,6/30/16
25c3861b-8e80-4fe0-a16c-a43701753817,1/1/00
25c3861b-8e80-4fe0-a16c-a43701753817,8/11/16
52936c71-e7ba-4318-8c05-a4380172b6b2,7/13/16
5cde4c04-13d3-4074-95a6-a43b00bdc315,8/10/16
5cde4c04-13d3-4074-95a6-a43b00bdc315,8/10/16
a1524fc8-3bc8-422a-9e41-a43b018a852f,8/12/16
177e5790-e2ad-49f4-aeb2-a43d016b1c60,8/15/16
99c36406-74bd-485a-8e30-a43e0148dcac,8/17/16
14572c58-f543-4c82-afb9-a44000cf4853,8/11/16
14572c58-f543-4c82-afb9-a44000cf4853,9/6/16
4939b2c2-1ec8-4afc-8349-a4420105a62b,8/11/16
4ee22078-07c7-4567-bb43-a44300e984d8,8/18/16
737de9bb-9872-4240-adcb-a444011d6249,8/12/16
5fd06e00-c2cf-48a3-8a0e-a44401688085,8/17/16
de03dc76-45af-4fab-99b6-a44500c26976,7/22/16
1407ab8f-e2ae-488a-ac50-a4450135d0ea,8/8/16
46a6cac3-6231-449d-b3c3-a446008c5078,8/11/16
4e254fc8-c1d1-4ffc-8906-a446009df3b3,7/19/16
e85c6c15-cd4f-4bec-87e7-a44800c3e62b,8/30/16
73cc9f97-bd4f-4a01-8187-a448015333da,8/12/16
7acea810-2566-4fb3-80d8-a448016cb4b9,6/14/16
c6d297a6-f30c-4e2b-aef7-a44a00db2c4e,8/11/16
436535e0-19fa-48f5-84ad-a44b0163ab13,8/29/16
e7d80a6c-2a20-49da-ad22-a44e0158334d,6/29/16
46cab3de-0447-4b98-aa4c-a44f016a20ba,6/13/16
f354e6db-fa83-4225-ac3f-a45000b9810e,8/16/16
4509d2ac-bde6-49fc-918c-a45200a12eb8,6/7/16
5479cd64-8207-4573-bb0d-a4520167fbc1,8/4/16
f86a5a5b-6a47-4212-a10b-a45700aabf3c,7/26/16
d16d5b88-bf0d-42a8-b7d2-a459014f4b54,7/14/16
d6979e3e-99d2-46b1-83ea-a45f014c8677,7/25/16
e3143c5e-771a-423b-adf4-a46101305fa2,7/21/16
bb2788c2-dd99-4f8b-820e-a464013c51e3,7/25/16
2ea2c6d9-777a-4f9c-b543-a46500df43df,7/8/16
ca90be4d-1f4b-41e6-80e6-a46700e941f4,8/19/16
1eb263fa-a03a-4e7b-ae06-a468010ab208,5/11/16
33325ed8-a798-40ea-b4ff-a46901413003,7/5/16
a8471ca0-2181-4322-8aa9-a46b00a359f0,8/9/16
7cdc42af-ebbf-494b-92f8-a46b00aeaaf9,8/3/16
369de5a1-efba-43d8-bead-a46c001912d6,8/1/16
c240c904-3d42-46df-beb6-a46d0092eb3c,8/11/16
f94c02a6-01f2-4520-ba11-a46d00f8c3bc,8/17/16
72486e21-8b96-41ef-bde9-a46d01269241,7/25/16
2c3915f0-b60d-495b-8bb3-a475010ffb1c,8/4/16
ff6e3953-a0e7-46b3-8a14-a478008ab5c0,6/24/16
c8611e9e-809a-4c5a-816e-a47a00086c8e,8/15/16
5212e3c8-49ff-48fb-9c2d-a47a00cceb95,6/14/16
b6696829-251e-4dfa-ae6b-a47b0136452a,8/18/16
6a8b7b2b-3d31-45f4-af6e-a4810043f1fb,8/18/16
d6c19ac0-598f-4d05-aa20-a48200d36d1a,7/21/16
50a569d5-8064-46f6-8ace-a48700b5279b,7/11/16
c24075c2-3413-4ecc-a249-a48700cb0b23,8/3/16
443a8501-7222-420b-806a-a4870141ec58,8/8/16
7ba2263c-de7a-4c85-bd94-a4870163e7cf,8/25/16
01854f60-38e1-48a0-bc20-a48900c83407,7/28/16
8bc6b1d6-97e1-416a-a66e-a4890125ebc5,7/15/16
9aed53c6-346d-446c-a0da-a489015bf1e0,8/11/16
390516a9-a2fe-45ee-b6cb-a48a00ddb601,7/28/16
16f245a5-63b6-4f41-9d6e-a48a00f50111,9/6/16
797beca7-47cd-403e-8940-a48b00a1774d,8/11/16
5f14c701-69bb-4adf-b573-a48e00aeebfd,8/11/16
0fb88564-2570-4394-8058-a48e00ba88d5,7/15/16
4830fe53-83b1-410a-b87c-a48f00d73bfd,7/22/16
c4dd3529-831b-4014-8599-a48f00f4d99b,5/11/16
f24986c3-cee4-4def-aca7-a48f01077d85,7/20/16
7524adee-3beb-47c6-a16f-a4900069b1f0,8/31/16
989997e5-cd2f-4974-95d2-a4900125fb7f,7/1/16
9534d261-b6f4-4dd6-84e7-a49500d7e926,7/15/16
a4896b9d-4d18-49c3-a993-a49600dba61c,8/10/16
fdc26bb6-00ab-4600-9500-a49a011c4743,6/20/16
199346d3-fabe-43f0-a708-a49c0107fff7,8/17/16
7c57d2ec-c10e-48c0-adbb-a49c014206d4,8/3/16
3a51c663-272c-4908-9139-a49d00b14b1c,8/10/16
605c5a76-269c-4d09-89be-a49d0114de81,7/20/16
932ddb0d-1b9d-43b6-8bd8-a49d015c14eb,5/27/16
68c822c5-eba2-4f0f-94ee-a49e012f6e1d,7/19/16
aa7ee291-7231-4b01-bf7a-a49f008c047a,6/17/16
2a46b47c-3f8c-4f0b-8005-a49f00a7aa13,8/9/16
a74286d3-105a-4e2c-8129-a4a00133f217,8/10/16
9bf88a5b-41c4-4a74-bdb7-a4a5003c2d17,9/6/16
3daef245-0213-44c6-8b48-a4a7009d42ac,5/2/16
52845178-d624-4978-ad00-a4ac00437125,8/11/16
c0536c93-68c1-41af-9e6a-a4ad00034101,7/20/16
878850fd-db2e-4009-a3ac-a4ad00d3ee63,7/26/16
49c9f613-96d5-4d07-bec2-a4ae012f020b,7/27/16
cca8d6fb-3b33-4dbf-8e42-a4b1016b0bd4,7/14/16
