MI School Data,,,,,,,,,,,
"Educator Effectiveness Snapshot
Detroit City School District: 2013-14 / Teachers",,,,,,,,,,,
Location,School Year,Highly Effective,Highly Effective (Percent),Effective,Effective (Percent),Minimally Effective,Minimally Effective (Percent),Ineffective,Ineffective (Percent),Total,
Detroit City School District,2013-14,"2,542",79%,541,17%,73,2.28%,52,2%,"3,208",
Individuals not assigned to a school are included in the district total.,,,,,,,,,,,
,,,,,,,,,,,
location,school_year,highly_effective,highly_effective_percent,effective,effective_percent,minimally_effective,minimally_effective_percent,ineffective,ineffective_percent,effective_or_more_percent,total
Maybury Elementary School,2013-14,18,0.9,1,0.05,0,0,1,0.05,0.95,20
Medicine and Community Health Academy at Cody,2013-14,18,0.55,15,0.45,0,0,0,0,1,33
Munger Elementary-Middle School,2013-14,41,0.82,8,0.16,1,0.02,0,0,0.98,50
Neinas Elementary School,2013-14,20,0.87,3,0.13,0,0,0,0,1,23
Nichols Elementary-Middle School,2013-14,21,0.95,0,0,1,0.05,0,0,0.95,22
Noble Elementary-Middle School,2013-14,24,0.65,11,0.3,1,0.02,1,0.03,0.95,37
Northwestern South Wing,2013-14,1,0.33,2,0.67,0,0,0,0,1,3
Office of Adult Education,2013-14,20,0.91,1,0.04,0,0,1,0.05,0.95,22
Osborn Academy of Mathematics,2013-14,19,0.76,5,0.2,1,0.04,0,0,0.96,25
Osborn College Preparatory Academy,2013-14,18,0.9,1,0.05,1,0.05,0,0,0.95,20
Osborn Evergreen Academy of Design and Alternative Energy,2013-14,13,0.57,10,0.43,0,0,0,0,1,23
Palmer Park Preparatory Academy,2013-14,35,0.92,2,0.05,0,0,1,0.03,0.97,38
Pasteur Elementary School,2013-14,26,0.96,0,0,1,0.04,0,0,0.96,27
Priest Elementary-Middle School,2013-14,35,0.74,12,0.26,0,0,0,0,1,47
Pulaski Elem-Middle School,2013-14,12,0.43,8,0.28,3,0.11,5,0.18,0.71,28
Randolph Career and Technical Center,2013-14,12,0.86,2,0.14,0,0,0,0,1,14
Renaissance High School,2013-14,52,0.87,4,0.06,2,0.04,2,0.03,0.93,60
"Robeson Academy, Malcolm X Academy",2013-14,18,0.78,4,0.18,0,0,1,0.04,0.96,23
Sampson Academy,2013-14,32,0.97,1,0.03,0,0,0,0,1,33
Schulze Elementary-Middle School,2013-14,38,0.93,3,0.07,0,0,0,0,1,41
Spain Elementary-Middle School,2013-14,29,0.91,2,0.06,1,0.03,0,0,0.97,32
Thirkell Elementary School,2013-14,27,0.87,3,0.1,1,0.03,0,0,0.97,31
Turning Point Academy,2013-14,13,0.76,2,0.12,1,0.06,1,0.06,0.88,17
Vernor Elementary School,2013-14,17,0.89,2,0.11,0,0,0,0,1,19
Wayne Elementary School,2013-14,17,0.77,4,0.18,1,0.05,0,0,0.95,22
Western International High School,2013-14,65,0.92,6,0.08,0,0,0,0,1,71
"Wright, Charles School",2013-14,32,0.97,1,0.03,0,0,0,0,1,33
"Young, Coleman A. Elementary",2013-14,24,0.77,6,0.2,0,0,1,0.03,0.97,31
Individuals not assigned to a school are included in the district total.,,,,,,,,,,,
