TT2ID,c27id,uni,FC_ID,Cohort,oct_ob_location,oct_Grade,oct_Setting,oct_Subject,oct_obs_date,oct_dom1a,oct_dom1c,oct_dom1e,oct_dom2b,oct_dom2c,oct_dom2d,oct_dom3b,oct_dom3c,oct_dom3d,oct_dom4a,oct_rel_effect
0934a69e-8820-4d9c-9feb-a54c013edb80,51002,Lehman College,2006,Cohort 27,X440,11,N/A,Science,21-Sep-16,Developing,Ineffective,Ineffective,Developing,Ineffective,Ineffective,Ineffective,Developing,Developing,Developing+,Below Average
0987e3e1-ffbe-472c-93f1-a526008d4d81,50626,Long Island University,1901,Cohort 27,k071,10,CTT/ICT,Special Education,18-Oct-16,Developing,Developing,Developing,Developing,Developing,Developing,Developing,Developing,Developing,Developing+,Average
0afd8ee2-3973-44cb-a42d-a5940118c5ef,51181,Hunter TESOL,1800,Cohort 27,09X218,5,CTT/ICT,Bilingual,27-Sep-16,Developing+,Developing+,Effective,Effective,Effective,Effective,Effective,Effective,Developing+,Effective,Average
0ba57222-1e79-42d5-a281-a10e00d8fe91,50060,Pace University,949,Cohort 27,97X754,10,D75,D75,5-Oct-16,Developing,Developing,Developing,Developing,Developing,Developing,Developing,Developing,Developing,Developing,Average
0c17e2e3-c15d-4745-a452-a54e01155701,51106,Hunter SPED,2038,Cohort 27,x254,8,Self-contained,Special Education,23-Sep-16,Ineffective,Ineffective,Ineffective,Developing,Developing,Effective,Ineffective,Ineffective,Developing,Developing,Below Average
0c369004-9284-4a98-9adb-a5150109bfbc,50465,Pace University,2069,Cohort 27,X168,K,D75,D75,30-Sep-16,Developing,Developing,Ineffective,Developing,Developing,Developing+,Developing,Developing,Developing,Ineffective,Average
0ccc1a19-a549-4fc8-abc8-a5bc00814fc4,50922,City College,2061,Cohort 27,x265,9,N/A,ESL,7-Oct-16,Developing+,Developing,Developing+,Developing,Developing,Developing,Developing+,Developing+,Ineffective,Developing+,Above Average
0d8a1c0f-698d-479d-9a4f-a58c01126a08,51169,Hunter TESOL,1993,Cohort 27,X030,1,N/A,Bilingual,13-Oct-16,Effective,Effective,Effective,Effective,Effective,Effective,Effective,Effective,Effective,Effective,Average
0d95d210-7d4a-4dfc-9fc3-a50d01783652,50750,City College,1833,Cohort 27,M328,7,,Special Education,13-Oct-16,Effective,Developing,Developing+,Effective,Developing+,Effective,Developing+,Developing,Developing,Effective,Average
0e1e8b9f-710a-4320-a8ce-a57300aa2490,51092,St. John's University,1146,Cohort 27,x527,10,CTT/ICT,Special Education,30-Sep-16,,,,Developing+,Effective,Effective,,,Effective,Developing+,Average
0e3ed408-3f9a-4f3f-8086-a3bc00acbbf7,50138,St. John's University,1206,Cohort 27,17K745,9,,Math,29-Sep-16,Developing+,Developing+,Developing+,Developing+,Developing+,Developing+,Developing+,Developing+,Developing+,Developing+,Average
0ea47dd1-85e5-4bd5-89ad-a4f700c67450,50389,Pace University,1845,Cohort 27,97K753,9,D75,Special Education,6-Oct-16,Effective,Developing+,Effective,Developing+,Developing+,Developing+,Effective,Effective,Effective,Effective,Above Average
0ea519ac-2df9-4bdc-862b-a25101694456,50056,Long Island University,2072,Cohort 27,09X241,10,N/A,Special Education,14-Oct-16,Effective,Effective,Effective,Developing+,Developing+,Developing+,Developing+,Effective,Effective,Effective,Above Average
0f5ced33-21c9-45ef-99eb-a58300fac326,51099,City College,2061,Cohort 27,x351,10,N/A,ESL,17-Oct-16,Developing,Developing,Developing,Developing,Ineffective,Ineffective,Developing,Developing,Developing,Developing+,Average
0f7206b7-f72c-4176-9c58-a56200f391ad,50819,St. John's University,202,Cohort 27,X790,12,Self-contained,Special Education,6-Oct-16,Developing,Developing,Developing,Effective,Effective,Effective,Developing,Developing+,Developing,Developing+,Below Average
0fb88564-2570-4394-8058-a48e00ba88d5,50220,Pace University,907,Cohort 27,Q752,9,D75,Special Education,30-Sep-16,Developing+,Developing+,Developing+,Developing+,Developing+,Developing+,Developing+,Developing+,Developing,Developing+,Above Average
10755dbf-1031-4b3c-8f29-a433013ed5aa,50259,St. John's University,1786,Cohort 27,X217,8,Self-contained,Science,28-Sep-16,Developing+,Developing+,Developing+,Effective,Effective,Effective,Developing+,Developing+,Developing+,Effective,Average
1106e5c3-c00f-4e47-9aa1-a5be00cda5a2,51064,City College,1856,Cohort 27,X298,6,,Bilingual,19-Oct-16,Developing+,Developing+,Developing+,Developing+,Developing+,Developing+,Developing+,Developing+,Developing+,Developing,Average
1174b343-5b96-4b5e-8afd-a585013ebbaa,51101,Pace University,949,Cohort 27,97X754,10,D75,D75,6-Oct-16,Developing,Developing,Developing,Developing,Developing,Developing,Developing,Ineffective,Developing,Developing,Average
118475f0-4f27-4677-b7d6-a59300f31d4e,50845,St. John's University,1712,Cohort 27,K620,11,Self-contained,Special Education,6-Oct-16,Developing,Developing+,Developing,Developing,Developing,Developing,Developing,Developing,Developing,Developing,Average
