School Code,APP USER ID,Six- Digit ID
09X525,63d424ae-8882-48fd-a78f-a57b00fc38ad,51295
97X017,23557c07-59a7-4669-a72c-a5ec0075c14a,51227
07X005,a8a74548-1e82-427e-833b-a5c500ff5711,51335
11X508,b1049b63-7303-495e-b197-a5c1016a678b,51296
97Q233,3c834288-ef27-4064-b118-a5f500d8fed8,51199
#N/A,2d62848f-b1ce-4ad8-a40b-a58c0008c406,51327
19K654,2941cca5-3525-4e24-825a-a567014c7931,51297
10X032,e93783b7-41a0-4868-a6c8-a611008cb659,51230
02M529,0be8c3e6-203e-49dd-80d4-a57c00fa17c2,51266
15K088,eb81afbd-2c37-4c43-8958-a59400d65e04,51299
02M520,fd2e1db7-2d77-4420-a1b1-a5fa00bbd81e,51233
09X132,4faaa314-d611-43a1-b9dd-a5a900d7a57e,51234
04M057,c7b8d171-ddde-4474-8b3c-a51f00eabe08,51300
24Q087,#N/A,51302
03M208,c2cd45c9-a6e5-4232-8a29-a33a000b9253,51303
29Q132,b2a803a2-f94c-447a-855d-a5b300e4ae37,51305
11X089,1c1ec790-5fed-465e-be15-a44a0146453c,51236
02M135,6e149dc3-fa5a-42e3-9901-a5d700fd70cb,51202
97X176,54c65908-e748-4a0e-8370-a65200f5b9c0,51229
25Q460,7c19d9a4-a29f-427b-bc80-a52800e6a5fd,51238
21K329,0bf86cf7-24f1-4dfa-aeb4-a60f00d49401,51239
13K270,482c3372-f134-40f0-a56c-a5b500c8a937,51307
05M092,d9919f62-fa07-43a2-8353-a5a800ce9548,51308
97M401,57a2517a-dfa5-46f0-90e3-a5e900c84086,51205
04M050,fdca5cfe-0760-4d5a-bdd5-a15d012d6591,51309
21K281,5d0b86d0-2e72-44dd-9a1b-a58100c4aaed,51241
22K234,a50aa555-b2c8-49c9-a257-a45100b58858,51275
24Q019,4da76833-c52b-4305-b27f-a60f0112c445,51243
97M079,4c0b3bb3-9378-4cf3-8069-a51501482927,51207
97M138,3074e78c-2c59-4ab0-b2bf-a5fb0061c204,51208
21K329,527ba0c3-3131-4993-9e05-a5a3014fc340,51313
23K327,ef852284-0194-488b-99da-a60e01888c45,51244
18K598,4417cf09-ef42-492e-bcd5-a5e7013d3a32,51245
