TT2ID,C27id
82e98705-6b91-47f1-8b5c-a27a008c061f,50110
d4c1dafb-564c-4590-9b8b-a29001209e92,50111
5938539d-3c05-4e7b-ab1c-a2d900e2e79c,50112
92a79031-cbb2-46c4-b88a-a36600b12357,50113
f00dec86-81f4-4051-a814-a3b6011fb8e5,50114
75901112-b11b-4069-b490-a3cd0140ef9c,50115
314bd891-9d65-46fc-8141-a3d30144fc10,50116
778812a7-b96a-4113-823c-a39b010bfdbd,50117
008e6aa9-0150-4a02-b302-a3b1011c9209,50118
7a58a7cc-1332-470e-8579-a3df00d58cae,50119
724ff1e7-423b-4688-bcb3-a3f401583465,50120
a8f84c32-932d-4510-b450-a3ff0097ce18,50121
6bfa945b-0fc2-4759-a60d-a40400b2f01f,50122
cbb845c9-4cfa-4ff5-923f-a40f018223a4,50123
39542084-fdd4-40b6-a92b-a41201434f1b,50124
9e180811-40a7-47ac-a29f-a417010e6c07,50125
c8eab2c1-1c86-46a4-a18d-a39c00edd6fc,50126
48a511a5-2162-44c8-9041-a3da0106c2b3,50127
544b8482-6541-4f10-8a6f-a3de0104cac8,50128
e2078b79-c3a6-483b-a3f5-a3e0016fe624,50129
4e4d7971-0b58-41c3-a490-a3e80143d964,50130
fc542fdd-95e2-45d5-8371-a3f100c10dc0,50131
c8afca75-9d83-4fac-8f3a-a3f100d15002,50132
38bb73ed-65f5-49b9-8763-a3fe0165a3ef,50133
13d283ce-a85f-4d5b-a640-a37f01680218,50134
58e627d8-522a-4665-8f0f-a380016bce3b,50135
a9df6b4c-2714-4e84-912e-a38c0138e7cc,50136
6ce9f8e3-d3b9-42d2-93a1-a3b100662e26,50137
0e3ed408-3f9a-4f3f-8086-a3bc00acbbf7,50138
d0735513-dcea-49e9-915c-a2d30164ddcf,50139
49ee7986-73a6-46db-a497-a2fa00bee51e,50140
393ab3f7-b7d4-4b82-ac7f-a3160186df4f,50141
f4b5c010-6e14-43c9-bd59-a37c012fa624,50142
65e146d1-c518-4f59-804b-a38d017970a7,50143
56163267-b1ad-46b6-b96b-a39200f40d8c,50144
edde4896-7003-4461-8b7d-a3bd00f693f6,50145
2f021679-938d-4faa-b411-a3be003566cc,50146
8120a30f-57cf-42c5-aad3-a41800caccf3,50147
2acced1d-b360-4664-954b-a41800e8a533,50148
